tariff_rate,import_volume,price
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
5,1000,10.00
10,800,12.00
15,700,14.00
20,600,15.50
25,500,18.00
30,400,20.00
